community_url,label_old,member_count,Id,type,label_2,label_legacy,label_edited_count,longitude,latitude,cluster_id,cluster_size,label
thyroiduk,Thyroid UK,168733.0,thyroiduk_co-occurrence,community,Thyroid UK (168733),Thyroid UK,Thyroid UK (168733),-30,41.0,,,Thyroid disord.
couchto5k,Couch to,159886.0,couchto5k_co-occurrence,community,Couch to (159886),Couch to 5K (Running),Couch to 5K (Running) (159886),-30,40.0,,,Running 5K
anxiety-depression-support,Anxiety and Depression Support,88818.0,anxiety-depression-support_co-occurrence,community,Anxiety and Depression Support (88818),Anxiety & Depression,Anxiety & Depression (88818),-30,39.0,,,Myalgic encephalomyelitisntal
asthmalunguk-lung,Lung Conditions Community Forum,67506.0,asthmalunguk-lung_co-occurrence,community,Lung Conditions Community Forum (67506),Lung Conditions,Lung Conditions (67506),-30,38.0,,,Lung & asthma
fibromyalgia-action-uk,Fibromyalgia Action UK,67449.0,fibromyalgia-action-uk_co-occurrence,community,Fibromyalgia Action UK (67449),Fibromyalgia UK,Fibromyalgia UK (67449),-30,37.0,,,Fibromyalgia
fertility-network-uk,Fertility Network UK,60497.0,fertility-network-uk_co-occurrence,community,Fertility Network UK (60497),Fertility UK,Fertility UK (60497),-30,36.0,,,Fertility
endometriosis-uk,Endometriosis UK,53887.0,endometriosis-uk_co-occurrence,community,Endometriosis UK (53887),Endometriosis UK,Endometriosis UK (53887),-30,35.0,,,Endometriosis
anxietysupport,Anxiety Support,49558.0,anxietysupport_co-occurrence,community,Anxiety Support (49558),Anxiety,Anxiety (49558),-30,34.0,,,Anxiety
nras,NRAS,46619.0,nras_co-occurrence,community,NRAS (46619),Rheumatoid Arthritis,Rheumatoid Arthritis (46619),-30,33.0,,,Arthritis
pmrgcauk,PMRGCAuk,41614.0,pmrgcauk_co-occurrence,community,PMRGCAuk (41614),Polymyalgia Rheumatica & Giant Cell Arteritis UK,Polymyalgia Rheumatica & Giant Cell Arteritis UK (41614),-30,32.0,,,Arteritis
cllsupport,CLL Support,40649.0,cllsupport_co-occurrence,community,CLL Support (40649),Chronic Lymphocytic Leukaemia (CLL),Chronic Lymphocytic Leukaemia (CLL) (40649),-30,31.0,,,Chronic lymphocytic leukemia
afassociation,Atrial Fibrillation Support,39650.0,afassociation_co-occurrence,community,Atrial Fibrillation Support (39650),Atrial Fibrillation,Atrial Fibrillation (39650),-30,30.0,,,Atrial fibrillation
bhf,British Heart Foundation,35558.0,bhf_co-occurrence,community,British Heart Foundation (35558),British Heart,British Heart (35558),-30,29.0,,,Heart health
nosmokingday,No Smoking Day,32495.0,nosmokingday_co-occurrence,community,No Smoking Day (32495),No Smoking Day,No Smoking Day (32495),-30,28.0,,,Quit smoking
quitsupport,Quit Support,30561.0,quitsupport_co-occurrence,community,Quit Support (30561),Quit,Quit (30561),-30,27.0,,,Quit smoking
lupusuk,LUPUS UK,28837.0,lupusuk_co-occurrence,community,LUPUS UK (28837),LUPUS UK,LUPUS UK (28837),-30,26.0,,,Lupus
advanced-prostate-cancer,Advanced Prostate Cancer,28798.0,advanced-prostate-cancer_co-occurrence,community,Advanced Prostate Cancer (28798),Advanced Prostate Cancer,Advanced Prostate Cancer (28798),-30,25.0,,,Prostate cancer
bridgeto10k,Bridge to,26817.0,bridgeto10k_co-occurrence,community,Bridge to (26817),Bridge to 10K (Running),Bridge to 10K (Running) (26817),-30,24.0,,,Running 10K
asthmalunguk-asthma,Asthma Community Forum,25092.0,asthmalunguk-asthma_co-occurrence,community,Asthma Community Forum (25092),Asthma,Asthma (25092),-30,23.0,,,Asthma
pasoc,Pernicious Anaemia Society,24457.0,pasoc_co-occurrence,community,Pernicious Anaemia Society (24457),Pernicious Anaemia,Pernicious Anaemia (24457),-30,22.0,,,Pernicious anaemia
britishlivertrust,British Liver Trust,19073.0,britishlivertrust_co-occurrence,community,British Liver Trust (19073),British Liver Trust,British Liver Trust (19073),-30,21.0,,,Liver
theibsnetwork,IBS Network,16340.0,theibsnetwork_co-occurrence,community,IBS Network (16340),Irritable Bowel Syndrome (IBS),Irritable Bowel Syndrome (IBS) (16340),-30,20.0,,,Irritable bowel syndr.
